Location,Department,Name,FirstName,LastName,EmailAddress,Username
Halifax,Accounting,Philip SMITH,Philip,SMITH,philip.smith@gmail.com,p.smith
Halifax,Accounting,Logan JOHNSON,Logan,JOHNSON,logan.johnson@gmail.com,l.johnson
Halifax,Accounting,Bobby WILLIAMS,Bobby,WILLIAMS,bobby.williams@gmail.com,b.williams
Halifax,Accounting,Harry BROWN,Harry,BROWN,harry.brown@gmail.com,h.brown
Halifax,HR Dept,Johnny JONES,Johnny,JONES,johnny.jones@gmail.com,j.jones
Halifax,HR Dept,Mary MILLER,Mary,MILLER,mary.miller@gmail.com,m.miller
Halifax,Operations,John DAVIS,John,DAVIS,john.davis@gmail.com,j.davis
Halifax,Operations,Robert GARCIA,Robert,GARCIA,robert.garcia@gmail.com,r.garcia
Halifax,Operations,Michael RODRIGUEZ,Michael,RODRIGUEZ,michael.rodriguez@gmail.com,m.rodriguez
Halifax,Operations,William WILSON,William,WILSON,william.wilson@gmail.com,w.wilson
Halifax,Operations,David MARTINEZ,David,MARTINEZ,david.martinez@gmail.com,d.martinez
Halifax,Operations,Richard ANDERSON,Richard,ANDERSON,richard.anderson@gmail.com,r.anderson
Halifax,Operations,Joseph TAYLOR,Joseph,TAYLOR,joseph.taylor@gmail.com,j.taylor
Halifax,Operations,Thomas THOMAS,Thomas,THOMAS,thomas.thomas@gmail.com,t.thomas
Halifax,Operations,Charles HERNANDEZ,Charles,HERNANDEZ,charles.hernandez@gmail.com,c.hernandez
Halifax,Operations,Christopher MOORE,Christopher,MOORE,christopher.moore@gmail.com,c.moore
Halifax,Operations,Daniel MARTIN,Daniel,MARTIN,daniel.martin@gmail.com,d.martin
Halifax,Operations,Matthew JACKSON,Matthew,JACKSON,matthew.jackson@gmail.com,m.jackson
Halifax,Operations,Anthony THOMPSON,Anthony,THOMPSON,anthony.thompson@gmail.com,a.thompson
Halifax,Operations,Donald WHITE,Donald,WHITE,donald.white@gmail.com,d.white
Halifax,Operations,Mark LOPEZ,Mark,LOPEZ,mark.lopez@gmail.com,m.lopez
Halifax,Operations,Paul LEE,Paul,LEE,paul.lee@gmail.com,p.lee
Halifax,IT Dept,Steven GONZALEZ,Steven,GONZALEZ,steven.gonzalez@gmail.com,s.gonzalez
Halifax,IT Dept,Andrew HARRIS,Andrew,HARRIS,andrew.harris@gmail.com,a.harris
Halifax,IT Dept,Kenneth CLARK,Kenneth,CLARK,kenneth.clark@gmail.com,k.clark
Halifax,Maintenance,George LEWIS,George,LEWIS,george.lewis@gmail.com,g.lewis
Halifax,Maintenance,Joshua ROBINSON,Joshua,ROBINSON,joshua.robinson@gmail.com,j.robinson
Halifax,Maintenance,Kevin WALKER,Kevin,WALKER,kevin.walker@gmail.com,k.walker
Halifax,Maintenance,Brian PEREZ,Brian,PEREZ,brian.perez@gmail.com,b.perez
Truro,Accounting,Edward HALL,Edward,HALL,edward.hall@gmail.com,e.hall
Truro,Accounting,Ronald YOUNG,Ronald,YOUNG,ronald.young@gmail.com,r.young
Truro,IT Dept,Timothy ALLEN,Timothy,ALLEN,timothy.allen@gmail.com,t.allen
Truro,Maintenance,Jason SANCHEZ,Jason,SANCHEZ,jason.sanchez@gmail.com,j.sanchez
Truro,Maintenance,Jeffrey WRIGHT,Jeffrey,WRIGHT,jeffrey.wright@gmail.com,j.wright
Truro,Maintenance,Ryan KING,Ryan,KING,ryan.king@gmail.com,r.king
Truro,HR Dept,Nicholas BAKER,Nicholas,BAKER,nicholas.baker@gmail.com,n.baker
Truro,HR Dept,Jacob SCOTT,Jacob,SCOTT,jacob.scott@gmail.com,j.scott
Truro,HR Dept,Gary GREEN,Gary,GREEN,gary.green@gmail.com,g.green
Truro,Operations,Eric ADAMS,Eric,ADAMS,eric.adams@gmail.com,e.adams
Truro,Operations,Stephen NELSON,Stephen,NELSON,stephen.nelson@gmail.com,s.nelson
Truro,Operations,Jonathan HILL,Jonathan,HILL,jonathan.hill@gmail.com,j.hill
Truro,Operations,Larry RAMIREZ,Larry,RAMIREZ,larry.ramirez@gmail.com,l.ramirez
Truro,Operations,Justin CAMPBELL,Justin,CAMPBELL,justin.campbell@gmail.com,j.campbell
Truro,Operations,Scott MITCHELL,Scott,MITCHELL,scott.mitchell@gmail.com,s.mitchell
Truro,Operations,Brandon ROBERTS,Brandon,ROBERTS,brandon.roberts@gmail.com,b.roberts
Truro,Operations,Frank CARTER,Frank,CARTER,frank.carter@gmail.com,f.carter
